"카테고리","상품명","비교결과","44369 가격","44369 앱가격","44369 할인","40468 가격","40468 앱가격","40468 할인","44369 상품정보","40468 상품정보"
"Getränke","Arizona Fruchtsaftgetränk Cowboy Cocktail oder Teegetränk","동일","1.49","","-16%","1.49","","-16%","1,5 l | 0.99 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.79 | 1.49*","1,5 l | 0.99 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.79 | 1.49*"
"Getränke","Active O2 Erfrischungsgetränk","동일","1.00","","-15%","1.00","","-15%","0,75 l | 1.33 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.19 | 1.–*","0,75 l | 1.33 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.19 | 1.–*"
"Getränke","Cola oder Limonaden","동일","2.69","","-10%","2.69","","-10%","9 x 0,5 l | 0.60 / l | zzgl. Pfand 2.25€ | teilw. koffeinhaltig, versch. Sorten | statt 2.99 | 2.69*","9 x 0,5 l | 0.60 / l | zzgl. Pfand 2.25€ | teilw. koffeinhaltig, versch. Sorten | statt 2.99 | 2.69*"
"Getränke","VitaminWell","동일","1.69","","-15%","1.69","","-15%","0,5 l | 3.38 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.69*","0,5 l | 3.38 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.69*"
"Getränke","Hella Wasser mit Fruchtgeschmack","동일","0.69","","-22%","0.69","","-22%","0,75 l | 0.92 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 0.89 | 0.69*","0,75 l | 0.92 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 0.89 | 0.69*"
"Getränke","More Fizi Limonade","동일","1.49","","-25%","1.49","","-25%","0,33 l | 4.52 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.49*","0,33 l | 4.52 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.49*"
"Getränke","Gösser","동일","0.89","","-18%","0.89","","-18%","0,5 l | 1.78 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.09 | 0.89*","0,5 l | 1.78 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.09 | 0.89*"
"Getränke","Desperados Original","동일","1.59","","-27%","1.59","","-27%","0,5 l | 3.18 / l | zzgl. Pfand 0.25€ | Bier mit Tequila aromatisiert | statt 2.19 | 1.59*","0,5 l | 3.18 / l | zzgl. Pfand 0.25€ | Bier mit Tequila aromatisiert | statt 2.19 | 1.59*"
"Getränke","Gerolsteiner natürliches Mineralwasser","44369에만","0.69","","-22%","","","","0,75 l | 0.92 / l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 0.89 | 0.69*",""
"Getränke","Coca-Cola oder Fanta","동일","3.99","","-32%","3.99","","-32%","6 x 0,33 l | 2.02 / l | zzgl. Pfand 1.50€ | teilw. koffeinhaltig, versch. Sorten | statt 5.94 | 3.99*","6 x 0,33 l | 2.02 / l | zzgl. Pfand 1.50€ | teilw. koffeinhaltig, versch. Sorten | statt 5.94 | 3.99*"
"Getränke","Knabe Kola","동일","1.00","","-22%","1.00","","-22%","0,33 l | 3.03 / l | zzgl. Pfand 0.25€ | koffeinhaltig, versch. Sorten | UVP 1.29 | 1.–*","0,33 l | 3.03 / l | zzgl. Pfand 0.25€ | koffeinhaltig, versch. Sorten | UVP 1.29 | 1.–*"
"Obst & Gemüse","Paprika rot","동일","1.35","","-24%","1.35","","-24%","500 g | 2.70 / kg | Niederlande, Kl. I | UVP 1.79 | 1.35*","500 g | 2.70 / kg | Niederlande, Kl. I | UVP 1.79 | 1.35*"
"Obst & Gemüse","Trauben Mix","동일","1.95","","-27%","1.95","","-27%","500 g Schale | 3.90 / kg | Italien / Spanien, Kl. I | kernlos | UVP 2.69 | 1.95*","500 g Schale | 3.90 / kg | Italien / Spanien, Kl. I | kernlos | UVP 2.69 | 1.95*"
"Obst & Gemüse","Bio Möhren","동일","1.15","","-31%","1.15","","-31%","1 kg Beutel | Deutschland, Kl. II | UVP 1.69 | 1.15*","1 kg Beutel | Deutschland, Kl. II | UVP 1.69 | 1.15*"
"Obst & Gemüse","Heidelbeeren","동일","3.35","","-16%","3.35","","-16%","500 g Schale | 6.70 / kg | Deutschland / Polen, Kl. I | UVP 3.99 | 3.35*","500 g Schale | 6.70 / kg | Deutschland / Polen, Kl. I | UVP 3.99 | 3.35*"
"Obst & Gemüse","Minirispentomaten","동일","1.25","","-30%","1.25","","-30%","400 g | 3.13 / kg | Niederlande, Kl. I | UVP 1.79 | 1.25*","400 g | 3.13 / kg | Niederlande, Kl. I | UVP 1.79 | 1.25*"
"Obst & Gemüse","Zwiebeln","동일","1.49","","-16%","1.49","","-16%","1,5 kg Netz | 0.99 / kg | Deutschland, Kl. II | UVP 1.79 | 1.49*","1,5 kg Netz | 0.99 / kg | Deutschland, Kl. II | UVP 1.79 | 1.49*"
"Obst & Gemüse","Speisekartoffeln","44369에만","1.99","","-20%","","","","2 kg Netz | 1.- / kg | Deutschland, aus der Lüneburger Heide versch. Kocheigenschaften | UVP 2.49 | 1.99*",""
"Obst & Gemüse","Lauchzwiebeln","동일","0.55","","-20%","0.55","","-20%","1 Bund | Deutschland | UVP 0.69 | 0.55*","1 Bund | Deutschland | UVP 0.69 | 0.55*"
"Obst & Gemüse","Champignon braun","동일","1.79","","-18%","1.79","","-18%","400 g Schale | 4.48 / kg | Polen, Kl. I | UVP 2.19 | 1.79*","400 g Schale | 4.48 / kg | Polen, Kl. I | UVP 2.19 | 1.79*"
"Obst & Gemüse","Äpfel rot","동일","1.49","","-25%","1.49","","-25%","1 kg Schale | Deutschland / Polen, Kl. I | statt 1.99 | 1.49*","1 kg Schale | Deutschland / Polen, Kl. I | UVP 1.99 | 1.49*"
"Obst & Gemüse","Nektarinen","동일","1.79","","-10%","1.79","","-10%","1 kg Schale | Italien / Spanien, Kl. I | UVP 1.99 | 1.79*","1 kg Schale | Italien / Spanien, Kl. I | UVP 1.99 | 1.79*"
"Obst & Gemüse","Avocado","동일","0.99","","-16%","0.99","","-16%","Stück | Chile / Peru, Kl. I, Sorte: Hass, vorgereift | UVP 1.19 | 0.99*","Stück | Chile / Peru, Kl. I, Sorte: Hass, vorgereift | UVP 1.19 | 0.99*"
"Backstube","Käse-Schinken-Croissant","동일","0.69","","-12%","0.69","","-12%","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.79 | 0.69*","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.79 | 0.69*"
"Backstube","Geflügelrolle","동일","0.99","","-23%","0.99","","-23%","Stück | Gilt nur in Filialen mit Backautomat! | UVP 1.29 | 0.99*","Stück | Gilt nur in Filialen mit Backautomat! | UVP 1.29 | 0.99*"
"Backstube","Laugenstange mit Saaten","동일","0.49","","-16%","0.49","","-16%","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.59 | 0.49*","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.59 | 0.49*"
"Backstube","Käse-Laugen Breze","동일","0.89","","-10%","0.89","","-10%","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.99 | 0.89*","Stück | Gilt nur in Filialen mit Backautomat! | UVP 0.99 | 0.89*"
"Backstube","Puddingbrezel","동일","0.99","","","0.99","","","Stück | Gilt nur in Filialen mit Backautomat! | Aktion | 0.99*","Stück | Gilt nur in Filialen mit Backautomat! | Aktion | 0.99*"
"Backstube","Roggenmischbrot","동일","1.39","","-15%","1.39","","-15%","1000 g | Gilt nur in Filialen mit Backautomat! | statt 1.65 | 1.39*","1000 g | Gilt nur in Filialen mit Backautomat! | statt 1.65 | 1.39*"
"Backstube","Schnittbrötchen","동일","1.00","","-34%","1.00","","-34%","8 Stück | Gilt nur in Filialen mit Backautomat! | Einzelpreis: 0.19 | statt 1.52 | 1.–*","8 Stück | Gilt nur in Filialen mit Backautomat! | Einzelpreis: 0.19 | statt 1.52 | 1.–*"
"Fleisch & Wurst","Puten-Schnitzel","동일","4.79","3.99","-28% / -14%","4.79","3.99","-28% / -14%","500 g | 9.58 / kg | mager, dünn geschnitten | UVP 5.59 | 4.79* | 3.99* | (7.98 / kg)","500 g | 9.58 / kg | mager, dünn geschnitten | UVP 5.59 | 4.79* | 3.99* | (7.98 / kg)"
"Fleisch & Wurst","Hähnchen-Geschnetzeltes","동일","3.69","","-26%","3.69","","-26%","400 g | 9.23 / kg | natur | UVP 4.99 | 3.69*","400 g | 9.23 / kg | natur | UVP 4.99 | 3.69*"
"Fleisch & Wurst","Kasseler-Minutensteak","동일","3.29","","-17%","3.29","","-17%","400 g | 8.23 / kg | vom Schwein, gepökelt, goldgelb geräuchert | statt 3.99 | 3.29*","400 g | 8.23 / kg | vom Schwein, gepökelt, goldgelb geräuchert | statt 3.99 | 3.29*"
"Fleisch & Wurst","Hackfleisch vom Hähnchen","동일","2.49","","-16%","2.49","","-16%","400 g | 6.23 / kg | gewürzt | statt 2.99 | 2.49*","400 g | 6.23 / kg | gewürzt | statt 2.99 | 2.49*"
"Fleisch & Wurst","Hüftsteak vom Jungbullen","동일","1.89","","-16%","1.89","","-16%","pro 100 g | 18.90 / kg | mager, garantiert 14 Tage gereift, ca. 200 g | statt 2.26 | 1.89*","pro 100 g | 18.90 / kg | mager, garantiert 21 Tage gereift, ca. 200 g | statt 2.26 | 1.89*"
"Fleisch & Wurst","Schweine-Schinkenbraten","동일","4.99","","-37%","4.99","","-37%","pro kg | aus der Nuss, vakuumverpackt, ca. 1.2 kg | UVP 7.99 | 4.99*","pro kg | aus der Nuss, vakuumverpackt, ca. 1.2 kg | UVP 7.99 | 4.99*"
"Fleisch & Wurst","Hähnchen-Minutensteaks","동일","3.99","","-20%","3.99","","-20%","400 g | 9.98 / kg | in Skyr-Style-Marinade | UVP 4.99 | 3.99*","400 g | 9.98 / kg | in Skyr-Style-Marinade | UVP 4.99 | 3.99*"
"Fleisch & Wurst","Schweine-Nackensteaks","동일","5.99","","-25%","5.99","","-25%","pro kg | in Western-Marinade, ca. 10 Stück | UVP 7.99 | 5.99*","pro kg | in Western-Marinade | UVP 7.99 | 5.99*"
"Fleisch & Wurst","Ferdi Fuchs Mini Würstchen","동일","5.00","","-28%","5.00","","-28%","400 g | 12.50 / kg | in der praktischen Brotdose, ideal für die Schule | UVP 6.99 | 5.–*","400 g | 12.50 / kg | in der praktischen Brotdose, ideal für die Schule | UVP 6.99 | 5.–*"
"Fleisch & Wurst","Snack It Kabanossi to go","동일","0.88","","-11%","0.88","","-11%","50 g | 17.60 / kg | versch. Sorten | statt 0.99 | 0.88*","50 g | 17.60 / kg | versch. Sorten | statt 0.99 | 0.88*"
"Fleisch & Wurst","Frischwurst-Aufschnitt","동일","1.00","","-15%","1.00","","-15%","200 g | 5.- / kg | versch. Sorten | Regionale Verpackungsabweichungen möglich | UVP 1.19 | 1.–*","200 g | 5.- / kg | versch. Sorten | Regionale Verpackungsabweichungen möglich | UVP 1.19 | 1.–*"
"Fleisch & Wurst","Pulled Haxe oder Kasseler","동일","4.99","4.79","-20% / -16%","4.99","4.79","-20% / -16%","550 g | 9.07 / kg | slow cooked | UVP 5.99 | 4.99* | 4.79* | (8.71 / kg)","550 g | 9.07 / kg | slow cooked | UVP 5.99 | 4.99* | 4.79* | (8.71 / kg)"
"Fleisch & Wurst","Mini Wiener","동일","1.99","","-20%","1.99","","-20%","2 x 160 g | 6.22 / kg | geräuchert | Regionale Verpackungsabweichungen möglich | statt 2.49 | 1.99*","2 x 160 g | 6.22 / kg | geräuchert | Regionale Verpackungsabweichungen möglich | statt 2.49 | 1.99*"
"Fleisch & Wurst","Prosciutto Cotto","44369에만","1.99","","-16%","","","","200 g | 9.95 / kg | statt 2.39 | 1.99*",""
"Fleisch & Wurst","Bratwurst","동일","2.99","","-21%","2.99","","-21%","540 g | 5.54 / kg | gebrüht | Regionale Verpackungsabweichungen möglich | UVP 3.79 | 2.99*","540 g | 5.54 / kg | gebrüht | UVP 3.79 | 2.99*"
"Fleisch & Wurst","Currywurst","44369에만","2.99","","-21%","","","","540 g | 5.54 / kg | nach Bockwurst Art | UVP 3.79 | 2.99*",""
"Kühlregal & Tiefkühlung","Mövenpick Eis","동일","1.99","","-50%","1.99","","-50%","800 ml – 900 ml | 2.21 - 2.49 / l | tiefgekühlt, versch. Sorten | statt 3.99 | 1.99*","800 ml – 900 ml | 2.21 - 2.49 / l | tiefgekühlt, versch. Sorten | statt 3.99 | 1.99*"
"Kühlregal & Tiefkühlung","Arla Kaergarden Butter","동일","0.99","","-63%","0.99","","-63%","250 g | 3.96 / kg | gekühlt | UVP 2.69 | 0.99*","250 g | 3.96 / kg | gekühlt | UVP 2.69 | 0.99*"
"Kühlregal & Tiefkühlung","Rougette Grill- oder Ofenkäse","동일","2.49","","-32%","2.49","","-32%","180 g | 13.83 / kg | gekühlt, versch. Sorten | statt 3.69 | 2.49*","180 g | 13.83 / kg | gekühlt, versch. Sorten | statt 3.69 | 2.49*"
"Kühlregal & Tiefkühlung","Weihenstephan Skyr","동일","1.29","","-35%","1.29","","-35%","450 g | 2.87 / kg | gekühlt | UVP 1.99 | 1.29*","450 g | 2.87 / kg | gekühlt | UVP 1.99 | 1.29*"
"Kühlregal & Tiefkühlung","Milchwerke Schwaben High Protein Milchreis oder Pudding","동일","2.22","","-25%","2.22","","-25%","0,7 kg – 1 kg | 2.22 - 3.17 / kg | gekühlt, versch. Sorten | UVP 2.99 | 2.22*","0,7 kg – 1 kg | 2.22 - 3.17 / kg | gekühlt, versch. Sorten | UVP 2.99 | 2.22*"
"Kühlregal & Tiefkühlung","Alpenhain Backkäse","동일","1.99","","-42%","1.99","","-42%","200 g | 9.95 / kg | gekühlt, versch. Sorten | UVP 3.49 | 1.99*","200 g | 9.95 / kg | gekühlt, versch. Sorten | UVP 3.49 | 1.99*"
"Kühlregal & Tiefkühlung","Cevapcici","동일","5.29","4.69","-11%","5.29","4.69","-11%","500 g | 10.58 / kg | tiefgekühlt | Aktion | 5.29* | 4.69* | (9.38 / kg)","500 g | 10.58 / kg | tiefgekühlt | Aktion | 5.29* | 4.69* | (9.38 / kg)"
"Kühlregal & Tiefkühlung","iglo Fertiggerichte XXL","동일","4.99","","-21%","4.99","","-21%","750 g – 800 g | 6.24 - 6.65 / kg | tiefgekühlt, versch. Sorten | UVP 6.39 | 4.99*","750 g – 800 g | 6.24 - 6.65 / kg | tiefgekühlt, versch. Sorten | UVP 6.39 | 4.99*"
"Kühlregal & Tiefkühlung","Kinder Maxi King, Milchschnitte oder Kinder Pingui","동일","1.49","","-25%","1.49","","-25%","3 x 35 g; 5 x 28 g; 4 x 30 g | 10.64 - 14.19 / kg | gekühlt, versch. Sorten | UVP 1.99 | 1.49*","3 x 35 g; 5 x 28 g; 4 x 30 g | 10.64 - 14.19 / kg | gekühlt, versch. Sorten | UVP 1.99 | 1.49*"
"Kühlregal & Tiefkühlung","Petrella Frischkäse/-zubereitung oder vegan","동일","1.49","","-34%","1.49","","-34%","125 g – 140 g | 10.64 - 11.92 / kg | gekühlt, versch. Sorten | UVP 2.29 | 1.49*","125 g – 140 g | 10.64 - 11.92 / kg | gekühlt, versch. Sorten | UVP 2.29 | 1.49*"
"Kühlregal & Tiefkühlung","Beerenmischung","가격/표기 변경","2.89","","-12%","2.89","","","500 g – 750 g | 3.85 - 5.78 / kg | tiefgekühlt, versch. Sorten | statt 3.29 | 2.89*","500 g – 750 g | 3.85 - 5.78 / kg | tiefgekühlt, versch. Sorten | Aktion | 2.89*"
"Kühlregal & Tiefkühlung","Neni Hummus oder Baba Ganoush","동일","2.49","2.29","-17% / -10%","2.49","2.29","-17% / -10%","200 g | 12.45 / kg | gekühlt, versch. Sorten | UVP 2.79 | 2.49* | 2.29* | (11.45 / kg)","200 g | 12.45 / kg | gekühlt, versch. Sorten | UVP 2.79 | 2.49* | 2.29* | (11.45 / kg)"
"Kühlregal & Tiefkühlung","Mozzarella di Bufala","동일","1.49","","-16%","1.49","","-16%","250 g | 5.96 / kg | gekühlt | UVP 1.79 | 1.49*","125 g | 11.92 / kg | gekühlt | statt 1.79 | 1.49*"
"Kühlregal & Tiefkühlung","Müller Doppeldecker oder Wackelpudding","동일","1.00","","-37%","1.00","","-37%","4 x 125 g | 2.- / kg | gekühlt | statt 1.59 | 1.–*","4 x 125 g | 2.- / kg | gekühlt | statt 1.59 | 1.–*"
"Knabbereien","Lorenz Snack-Hits","동일","2.49","","-24%","2.49","","-24%","280 g | 8.89 / kg | Knabbermischung | UVP 3.29 | 2.49*","280 g | 8.89 / kg | Knabbermischung | UVP 3.29 | 2.49*"
"Knabbereien","Raxi Cracker","동일","0.49","0.39","-43% / -28%","0.49","0.39","-43% / -28%","70 g – 72 g | 6.81 - 7.- / kg | versch. Sorten | UVP 0.69 | 0.49* | 0.39* | (5.42 - 5.57 / kg)","70 g – 72 g | 6.81 - 7.- / kg | versch. Sorten | UVP 0.69 | 0.49* | 0.39* | (5.42 - 5.57 / kg)"
"Knabbereien","Lorenz Saltletts","동일","1.11","","-51%","1.11","","-51%","175 g – 250 g | 4.44 - 6.34 / kg | versch. Sorten | statt 2.29 | 1.11*","175 g – 250 g | 4.44 - 6.34 / kg | versch. Sorten | statt 2.29 | 1.11*"
"Knabbereien","Ritter Sport Rum","동일","2.99","","-30%","2.99","","-30%","200 g – 250 g | 11.96 - 14.95 / kg | +25% GRATIS! | UVP 4.29 | 2.99*","200 g – 250 g | 11.96 - 14.95 / kg | +25% GRATIS! | UVP 4.29 | 2.99*"
"Knabbereien","Knoppers Mini","동일","2.49","","-10%","2.49","","-10%","220 g | 11.32 / kg | UVP 2.79 | 2.49*","220 g | 11.32 / kg | UVP 2.79 | 2.49*"
"Knabbereien","TUC Bake Rolls","동일","1.49","","-25%","1.49","","-25%","150 g | 9.93 / kg | versch. Sorten | UVP 1.99 | 1.49*","150 g | 9.93 / kg | versch. Sorten | UVP 1.99 | 1.49*"
"Knabbereien","funny-frisch Spezialitäten","동일","1.29","0.99","-50% / -35%","1.29","0.99","-50% / -35%","75 g – 96 g | 13.44 - 17.20 / kg | versch. Sorten | statt 1.99 | 1.29* | 0.99* | (10.31 - 13.20 / kg)","75 g – 96 g | 13.44 - 17.20 / kg | versch. Sorten | statt 1.99 | 1.29* | 0.99* | (10.31 - 13.20 / kg)"
"Knabbereien","Böhme Cremeschokolade","동일","0.99","0.59","-40%","0.99","0.59","-40%","100 g | 9.90 / kg | versch. Sorten | Aktion | 0.99* | 0.59* | (5.90 / kg)","100 g | 9.90 / kg | versch. Sorten | Aktion | 0.99* | 0.59* | (5.90 / kg)"
"Wein, Sekt & Spirituosen","Jules Mumm Sekt","동일","3.99","","-27%","3.99","","-27%","0,75 l | 5.32 / l | versch. Sorten | UVP 5.49 | 3.99*","0,75 l | 5.32 / l | versch. Sorten | UVP 5.49 | 3.99*"
