대상주간,수집시각,요청우편번호,실제우편번호,체인,지점ID,지점,확인한URL,상태,수집상품수,누락이유,원문페이지수,확인페이지수
2026-09-14,2026-09-13T21:08:00+02:00,44369,44149,METRO,branch-30206fcf274f07fe,"METRO Dortmund-Oespel, Borussiastraße 101, 44149 Dortmund (최근접 공개 전단 지점, 지점별 가격 미확인)",https://prospekte.metro.de/3985/3358171/pdfs/baab6bde-6878-4c62-ac20-a0e1ef09d3b9.pdf,일부수집,4,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,44369,44369,ALDI Nord,branch-6b84e03681cde979,"ALDI Nord Aspeystraße 75, 44369 Dortmund (전단 기준, 지점별 가격 미확인)",https://www.aldi-nord.de/angebote.html,수집완료,172,ALDI 공식 OFFER_GET 전체 응답 검증,,
2026-09-14,2026-09-13T21:08:00+02:00,44369,44369,EDEKA,branch-bc5ba3d0d992ea68,"EDEKA Nüsken, Rossbachstraße 21-23, 44369 Dortmund (공식 전단 기준, 지점별 가격 미확인)",https://www.edeka.de/maerkte/072249/angebote/,일부수집,12,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,44369,44369,Lidl,branch-d5a6ecc77d976fac,"Lidl, Huckarder Allee 27, 44369 Dortmund (공식 전단 기준, 지점별 가격 미확인)",https://www.lidl.de/l/prospekte/aktionsprospekt-14-09-2026-19-09-2026-6e9cc6/view/flyer/page/1?_ab=1&lf=HHZ,일부수집,10,76면 중 레시피 연결 식재료가 있는 1·2·7면을 공식 화면에서 재검증,76,3
2026-09-14,2026-09-13T21:08:00+02:00,44369,44369,Netto Marken-Discount,branch-9b191c8340e1ab2e,"Netto Marken-Discount, Rahmer Str. 8, 44369 Dortmund (공식 전단 기준, 지점별 가격 미확인)",https://wochenprospekt.netto-online.de/100989/3357087/pdfs/56b6be76-4fb6-47dd-86d1-af56179c18e6.pdf,일부수집,11,72면 중 표지·신선식품·육류·목요일 행사를 재검증,72,4
2026-09-14,2026-09-13T21:08:00+02:00,44369,44369,REWE,branch-1d58386b6a48c7ee,"REWE H. Amshove, Varziner Str. 7-17, 44369 Dortmund (지점 확인)",https://www.rewe.de/angebote/dortmund/1762800/rewe-markt-varziner-str-7-17/,일부수집,10,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52062,Netto Marken-Discount,branch-e3266a13232a4d10,"Netto Peterstraße 50, 52062 Aachen (전단 기준, 지점별 가격 미확인)",https://www.netto-online.de/angebote/,일부수집,8,공식 KW38 표지 상품 중 닭가슴살·양상추 재검증,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52062,REWE,branch-8fb604d19bb8e248,"REWE Markt, Kaiserplatz 1 / Adalbertstr. 100, 52062 Aachen (지점 확인)",https://www.rewe.de/angebote/aachen/1931021/rewe-markt-kaiserplatz-1-adalbertstr-100/,일부수집,11,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52064,ALDI SÜD,branch-44ec9a9b7a4cab8a,"ALDI SÜD, Franzstraße 2, 52064 Aachen (최근접 전단 지점, 지점별 가격 미확인)",https://www.aldi-sued.de/angebote/2026-09-18,일부수집,6,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52064,EDEKA,branch-b7a2687c1ad4f878,"E center Vieler, Schillerstraße 20-40, 52064 Aachen (52062 근접 대표)",https://www.edeka.de/maerkte/071409/,일부수집,12,공식 지점 상품 카드 중 레시피 연결 식재료를 재검증,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52064,Lidl,branch-902eeb90994abf6d,"Lidl, Eynattener Str. 26, 52064 Aachen (최근접 전단 지점, 지점별 가격 미확인)",https://www.lidl.de/l/prospekte/aktionsprospekt-14-09-2026-19-09-2026-6e9cc6/view/flyer/page/1?_ab=1&lf=HHZ,일부수집,10,76면 중 레시피 연결 식재료가 있는 1·2·7면을 공식 화면에서 재검증,76,3
2026-09-14,2026-09-13T21:08:00+02:00,52062,52068,Kaufland,branch-1618bf3ae78c257c,"Kaufland Aachen, Breslauer Straße 35, 52068 Aachen (최근접 전단 지점, 지점별 가격 미확인)",https://assets.leaflets.schwarz/leaflets/pdfs/01a07b01-1eec-7d3c-8054-53d4b48ce1b1/Prospekt-14-09-2026-16-09-2026-00.pdf,일부수집,120,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,52062,52146,METRO,branch-963e0a27a2e33537,"METRO Würselen, Schumanstraße 6, 52146 Würselen (최근접 공개 전단 지점, 지점별 가격 미확인)",https://prospekte.metro.de/3985/3358171/pdfs/baab6bde-6878-4c62-ac20-a0e1ef09d3b9.pdf,일부수집,4,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
