카테고리,상품명,정상가(€),할인가(€),앱가격(€),할인율,용량 및 상품정보,추천 요리 및 활용법
Fleisch & Wurst,Zartes Rinderfilet (Jungbulle),6.49,4.99,,-23%,100 g (49.90 / kg) | Frischetheke | Spitzenqualität | 4.99*,"프리미엄 안심 스테이크, 찹스테이크"
Fleisch & Wurst,Frischer Schweinerückenbraten,9.49,6.99,,-26%,1 kg | ohne Knochen | Frischetheke | statt 9.49 | 6.99*,"돼지고기 수육/보쌈, 로스트 포크"
Fleisch & Wurst,Schweinefilet im Baconmantel,2.49,1.99,,-20%,100 g | Frischetheke | gewürzt | statt 2.49 | 1.99*,베이컨 안심 스테이크 구이
Fleisch & Wurst,Cevapcici XXL,7.49,5.99,,-20%,600 g Packung | 9.98 / kg | gewürzt | statt 7.49 | 5.99*,"그릴 소시지/고기구이, 밥반찬"
Fleisch & Wurst,Riesenrostbratwurst XXL,4.99,3.99,,-20%,"5 Stück, 500 g | 7.98 / kg | Frischetheke | statt 4.99 | 3.99*","커리부어스트, 캠핑 그릴 바비큐"
Fleisch & Wurst,Schinkenspeck / Bacon gewürfelt,2.29,1.79,,-22%,100 g / 2x100g | Frischetheke/SB | statt 2.29 | 1.79*,"까르보나라 파스타, 김치볶음밥"
Fleisch & Wurst,Herta Finesse Schinken,2.19,1.49,,-32%,100 g | versch. Sorten | statt 2.19 | 1.49*,"브런치 샌드위치 햄, 샐러드 토핑"
Fleisch & Wurst,Rügenwalder Mühle Teewurst / Streichwurst,1.89,1.29,,-31%,100 g – 125 g | vegetarisch / Fleisch | statt 1.89 | 1.29*,독일식 아침 빵 스프레드
Fleisch & Wurst,Grobe Bratwurst / Rostbratwurst,1.19,0.89,,-25%,100 g | Frischetheke | statt 1.19 | 0.89*,"소시지 야채 볶음 (쏘야), 안주 구이"
Fleisch & Wurst,Tafelspitz vom Jungbullen,2.49,1.99,,-20%,100 g (19.90 / kg) | Frischetheke | mager | statt 2.49 | 1.99*,"오리지널 타펠슈피츠, 소고기 양지 수육/탕"
Fisch & Meeresfrüchte,Ausgenommene Forelle (Fisch),1.89,1.29,,-31%,100 g (12.90 / kg) | Frischetheke | frisch | statt 1.89 | 1.29*,"버터 송어 구이 (Forelle Müllerin), 생선 조림"
Fisch & Meeresfrüchte,Frisches Lachsfilet mit Haut,3.29,2.49,,-24%,100 g (24.90 / kg) | Frischetheke | reich an Omega-3 | 2.49*,"연어 스테이크, 연어 솥밥, 연어 파스타"
Fisch & Meeresfrüchte,Iglo Schlemmer-Filet / Filegro,3.99,2.49,2.22,-37% / -44%,"240 g – 380 g | tiefgekühlt, versch. Sorten | statt 3.99 | 2.49*","오븐 간편 생선 요리, 피쉬앤칩스"
Fisch & Meeresfrüchte,Costa Garnelen / King Prawns,6.99,4.99,,-28%,200 g – 300 g | tiefgekühlt | statt 6.99 | 4.99*,"감바스 알 아히요, 새우 볶음밥, 오일 파스타"
Fisch & Meeresfrüchte,Thunfischsteaks frisch,3.99,2.99,,-25%,100 g | Frischetheke | zart & saftig | statt 3.99 | 2.99*,"참치 다다키, 참치 스테이크"
Kühlregal & Käse,Bresso Kräuterfrischkäse,2.89,2.19,,-24%,150 g Becher | versch. Sorten | statt 2.89 | 2.19*,"바게트 스프레드, 크림 파스타 베이스"
Kühlregal & Käse,Milram Gewürzquark,1.45,1.00,,-31%,185 g Becher | 5.41 / kg | statt 1.45 | 1.–*,삶은 감자(Pellkartoffeln) 디핑 소스
Kühlregal & Käse,Zott Monte Snack / Maxi,1.99,1.49,,-25%,400 g / 4x29g | versch. Sorten | statt 1.99 | 1.49*,달콤한 초코 헤이즐넛 디저트 간식
Kühlregal & Käse,Söbbeke Stichfester Bio-Joghurt,1.99,1.49,,-25%,500 g Glas | Bio | statt 1.99 | 1.49*,건강한 유기농 아침 요거트
Kühlregal & Käse,Philadelphia Frischkäse,1.99,1.19,,-40%,175 g Schale | versch. Sorten | statt 1.99 | 1.19*,"베이글 샌드위치 스프레드, 치즈케이크"
Kühlregal & Käse,Kerrygold Cheddar / Butterkäse Scheiben,2.69,1.69,,-37%,150 g Packung | herzhaft | statt 2.69 | 1.69*,"수제 버거 치즈 토핑, 그릴 치즈 토스트"
Kühlregal & Käse,Müller Müllermilch,1.29,0.79,,-38%,400 ml – 500 ml | versch. Sorten | statt 1.29 | 0.79*,초코/바나나/딸기 맛있는 밀크 드링크
Kühlregal & Käse,Ehrmann Grand Dessert,0.99,0.59,,-40%,190 g Becher | Choc / Double Nut | statt 0.99 | 0.59*,크림 가득 초콜릿 푸딩 디저트
Kühlregal & Käse,Landliebe Pudding / Joghurt,1.39,0.88,,-36%,150 g – 200 g | versch. Sorten | statt 1.39 | 0.88*,부드러운 전통 독일식 푸딩/요거트
Kühlregal & Käse,Grünländer Käsescheiben,2.49,1.49,,-40%,120 g – 140 g | mild & nussig | statt 2.49 | 1.49*,"치즈 토스트, 샐러드 큐브 치즈"
Kühlregal & Käse,Arla Buko Frischkäse,1.79,1.11,,-38%,200 g Becher | versch. Sorten | statt 1.79 | 1.11*,"카나페 스프레드, 치즈 딥소스"
Kühlregal & Käse,Alpro Haferdrink / Soja Barista,2.49,1.49,,-40%,1 l Packung | pflanzlich | statt 2.49 | 1.49*,"비건 오트 라떼, 시리얼 우유 대용"
Kühlregal & Käse,Danone Activia Joghurt,2.69,1.69,,-37%,"4 x 115 g | probiotisch, versch. Sorten | statt 2.69 | 1.69*",장 건강 데일리 유산균 요거트
Kühlregal & Käse,Castello Höhlenkäse / Gouda jung,1.89,1.19,,-37%,100 g | Frischetheke | cremig | statt 1.89 | 1.19*,"와인 안주 치즈 플래터, 샌드위치"
Tiefkühlung,Dr. Oetker Die Ofenfrische / Ristorante,3.49,1.99,,-43%,"320 g – 410 g | tiefgekühlt, versch. Sorten | UVP 3.49 | 1.99*",바삭하고 쫄깃한 오븐 피자
Tiefkühlung,Iglo Rahmgemüse / Gemüsemischung,2.79,1.69,,-39%,"400 g – 500 g | tiefgekühlt, versch. Sorten | statt 2.79 | 1.69*","스테이크 가니쉬, 크림 채소 반찬"
Tiefkühlung,McCain 1-2-3 Frites Original,2.79,1.79,,-35%,600 g – 750 g | tiefgekühlt | statt 2.79 | 1.79*,"에어프라이어 감자튀김, 버거 사이드"
Tiefkühlung,Coppenrath & Wiese Meistertorte / Brötchen,5.99,3.99,,-33%,500 g – 800 g / 9er Pack | tiefgekühlt | statt 5.99 | 3.99*,"홈카페 조각 케이크, 갓 구운 모닝빵"
Tiefkühlung,Magnum Stieleis Classic / Almond,4.49,2.99,,-33%,3er – 6er Packung | versch. Sorten | statt 4.49 | 2.99*,진한 벨기에 초콜릿 프리미엄 아이스크림
Tiefkühlung,Langnese Cremissimo Eis,3.49,1.88,,-46%,900 ml – 1300 ml | versch. Sorten | statt 3.49 | 1.88*,"대용량 홈메이드 아포가토, 아이스크림 디저트"
Vorratskammer & Pasta,"Barilla Pasta (Spaghetti, Penne, Fusilli)",1.99,0.99,,-50%,500 g Packung | Nr. 5 / Nr. 73 etc. | statt 1.99 | 0.99*,"토마토 라구 파스타, 알리오 올리오"
Vorratskammer & Pasta,Barilla Pesto / Pasta Sauce,3.29,1.99,,-40%,"190 g – 400 g | Genovese, Calabrese, Basilico | statt 3.29 | 1.99*","초간단 바질페스토 파스타, 샐러드 드레싱"
Vorratskammer & Pasta,Harry Toastbrot / Vollkorn,1.89,1.49,,-21%,500 g | 2.98 / kg | versch. Sorten | UVP 1.89 | 1.49*,"치즈 토스트, 프렌치 토스트, 샌드위치"
Vorratskammer & Pasta,Knorr Schlemmersaucen / Grillsaucen,1.79,0.99,,-45%,"250 ml Flasche | Knoblauch, Zigeuner, BBQ | statt 1.79 | 0.99*",삼겹살/소시지 바비큐 딥소스
Vorratskammer & Pasta,Heinz Tomaten Ketchup,3.29,1.99,,-40%,500 ml Kopfstehflasche | UVP 3.29 | 1.99*,"오므라이스, 감자튀김 케첩 소스"
Vorratskammer & Pasta,Thomy Mayonnaise / Remoulade,2.49,1.49,,-40%,200 ml Tube / Glas | versch. Sorten | statt 2.49 | 1.49*,"에그 샌드위치, 감자 샐러드 드레싱"
Vorratskammer & Pasta,Kühne Gewürzgurken / Cornichons,2.29,1.49,,-35%,330 g – 720 ml Glas | knackig | statt 2.29 | 1.49*,"버거 피클 토핑, 돈가스 사이드 반찬"
Vorratskammer & Pasta,Bonduelle Goldmais,2.99,1.99,,-33%,3 x 140 g / 425 ml | süß & knackig | statt 2.99 | 1.99*,"콘치즈 구이, 볶음밥 고명, 샐러드"
Vorratskammer & Pasta,Oro di Parma Tomatenmark / stückig,1.89,1.19,,-37%,200 g Tube / 400 g Dose | 3-fach konzentriert | statt 1.89 | 1.19*,"진한 토마토 찌개/스튜, 파스타 소스"
Vorratskammer & Pasta,Dallmayr prodomo / Jacobs Krönung,7.99,5.49,,-31%,500 g gemahlen / Ganze Bohne | statt 7.99 | 5.49*,깊고 풍부한 데일리 아메리카노
Vorratskammer & Pasta,Teekanne Ländertee / Kräutertee,2.29,1.49,,-35%,"20er Beutel | Kamille, Pfefferminz, Türk. Apfel | statt 2.29 | 1.49*",따뜻한 힐링 티타임
Vorratskammer & Pasta,Kölln Müsli Blütenzarte Flocken,2.99,1.99,,-33%,500 g – 600 g | Haferflocken | statt 2.99 | 1.99*,"오트밀 죽, 요거트 오버나이트 오트밀"
Getränke,Gerolsteiner Mineralwasser,6.79,4.99,,-26%,"12 x 0,75 l Kiste | 0.55 / l | zzgl. Pfand 3.30€ | statt 6.79 | 4.99*","데일리 탄산수, 레몬/과일 에이드 베이스"
Getränke,Volvic Naturelle / Touch,1.29,0.89,,-31%,"1,5 l PET Flasche | zzgl. Pfand 0.25€ | statt 1.29 | 0.89*",순수한 천연 무탄산 미네랄 워터
Getränke,Vio Bio Limo / Mineralwasser,1.29,0.79,,-38%,"0,33 l / 1 l Glas/PET | zzgl. Pfand | statt 1.29 | 0.79*",상큼한 유기농 레모네이드
Getränke,Innocent Direktsaft / Smoothie,2.99,1.99,,-33%,250 ml – 900 ml | 100% Frucht | statt 2.99 | 1.99*,비타민 충전 생과일 주스
Getränke,Bionade versch. Sorten,1.19,0.79,,-33%,"0,33 l Glasflasche | Holunder, Kräuter | zzgl. Pfand 0.08€ | 0.79*",독일 천연 발효 탄산음료
Getränke,Red Bull Energy Drink,1.49,0.99,,-33%,"0,25 l Dose | versch. Sorten | zzgl. Pfand 0.25€ | statt 1.49 | 0.99*",에너지 부스팅 드링크
Bier & Wein & Spirituosen,Krombacher Pils / Alkoholfrei,14.99,11.49,,-23%,"20 x 0,5 l Kiste | 1.15 / l | zzgl. Pfand 3.10€ | statt 14.99 | 11.49*","깔끔한 라거 맥주, 저녁 치맥"
Bier & Wein & Spirituosen,Bitburger Premium Pils,14.49,10.99,,-24%,"20 x 0,5 l Kiste | 1.10 / l | zzgl. Pfand 3.10€ | statt 14.49 | 10.99*",정통 독일 필스너 맥주
Bier & Wein & Spirituosen,Heineken Premium Beer / 0.0%,6.29,4.99,4.49,-20% / -28%,"6 x 0,33 l Sixpack | 2.52 / l | zzgl. Pfand 0.48€ | UVP 6.29 | 4.99*",시원한 파티 맥주
Bier & Wein & Spirituosen,Corona Extra Lager / Cero,7.49,5.49,,-26%,"6 x 0,355 l Sixpack | zzgl. Pfand 0.48€ | statt 7.49 | 5.49*",라임을 곁들인 멕시칸 라거
Bier & Wein & Spirituosen,Veltins Pilsener / Radler,14.99,10.79,,-28%,"20 x 0,5 l Kiste | 1.08 / l | zzgl. Pfand 3.10€ | statt 14.99 | 10.79*",노르트라인베스트팔렌 대표 맥주
Bier & Wein & Spirituosen,Paulaner Hefe-Weißbier,18.49,14.49,,-21%,"20 x 0,5 l Kiste | 1.45 / l | zzgl. Pfand 3.10€ | statt 18.49 | 14.49*",부드러운 바이에른 밀맥주
Bier & Wein & Spirituosen,Freixenet Cava / Carta Nevada,6.49,4.49,,-30%,"0,75 l Flasche | spanischer Sekt | statt 6.49 | 4.49*","스파클링 와인, 홈파티 축하주"
Bier & Wein & Spirituosen,Rotkäppchen Sekt,4.29,2.99,,-30%,"0,75 l Flasche | versch. Sorten | statt 4.29 | 2.99*",대중적인 가성비 독일 스파클링 와인
Bier & Wein & Spirituosen,Blanchet Vin de France,3.49,2.49,,-28%,"0,75 l Flasche | Blanc de Blancs / Rouge | statt 3.49 | 2.49*",데일리 식사 페어링 프랑스 테이블 와인
Bier & Wein & Spirituosen,Aperol Aperitivo 11%,12.99,9.99,,-23%,"0,7 l Flasche | italienischer Bitterlikör | statt 12.99 | 9.99*",아페롤 스프리츠(Aperol Spritz) 칵테일
Bier & Wein & Spirituosen,Absolut Vodka / Captain Morgan Spiced,14.99,10.99,,-26%,"0,7 l Flasche | 40% / 35% vol. | UVP 14.99 | 10.99*",홈 칵테일 하이볼 베이스
Süßwaren & Knabbereien,Haribo Fruchtgummi / Goldbären,1.19,0.79,,-33%,175 g – 200 g Beutel | versch. Sorten | statt 1.19 | 0.79*,말랑말랑 젤리 간식
Süßwaren & Knabbereien,Milka Schokolade,1.49,0.88,,-40%,"100 g Tafel | Alpenmilch, Haselnuss etc. | statt 1.49 | 0.88*",달콤한 밀크 초콜릿 당 충전
Süßwaren & Knabbereien,Ritter Sport Bunte Vielfalt,1.49,0.99,,-33%,100 g Quadrat | versch. Sorten | statt 1.49 | 0.99*,다양한 맛의 스퀘어 초콜릿
Süßwaren & Knabbereien,Knoppers / Hanuta Minis,2.29,1.49,,-35%,200 g Packung | knusprig & schokoladig | statt 2.29 | 1.49*,티타임 바삭 웨하스 스낵
Süßwaren & Knabbereien,Toffifee,1.79,1.29,,-28%,125 g (15 Stück) | Haselnuss in Karamell | statt 1.79 | 1.29*,헤이즐넛 카라멜 초콜릿 디저트
Süßwaren & Knabbereien,Lay’s Chips / Bugles / Doritos,1.89,1.19,,-37%,110 g – 175 g | versch. Sorten | statt 1.89 | 1.19*,바삭한 포테이토/나초 스낵
Süßwaren & Knabbereien,funny-frisch Chipsfrisch,1.99,1.29,,-35%,"150 g Beutel | ungarisch, Chakalaka | statt 1.99 | 1.29*",맥주 안주 감자칩
Süßwaren & Knabbereien,Chio Tortillas & Dip,2.19,1.39,,-36%,"110 g / 200 ml | Hot Salsa, Cheese | statt 2.19 | 1.39*",영화 관람용 나초 & 살사 디핑 세트
Süßwaren & Knabbereien,Pringles Stapelchips,2.99,1.69,,-43%,"165 g Dose | Original, Sour Cream | statt 2.99 | 1.69*",원통 캔 감자칩 안주
Drogerie & Haushalt,Kuschelweich Weichspüler,2.49,1.79,,-28%,1 l (38 WL) | versch. Düfte | statt 2.49 | 1.79*,향기로운 세탁 섬유유연제
Drogerie & Haushalt,Poliboy Feuchttücher,3.99,3.25,,-18%,Packung | Möbel / Parkett Pflege | 3.25*,간편 청소 가구용 물티슈
Drogerie & Haushalt,Pril Spülmittel,2.29,1.49,,-35%,450 ml – 675 ml | Kraftgel | statt 2.29 | 1.49*,기름기 제거 주방세제
Drogerie & Haushalt,Somat Spülmaschinentabs XXL,12.99,8.99,,-30%,48 – 77 Tabs | All in 1 Extra / Excellence | statt 12.99 | 8.99*,식기세척기 세제 캡슐
Drogerie & Haushalt,Zewa Wisch&Weg Küchenrolle,3.49,2.49,,-28%,4 x 45 Blatt | saugstark | statt 3.49 | 2.49*,주방용 흡수력 강한 키친타월
Drogerie & Haushalt,Nivea Duschgel / Men Pflegedusche,2.49,1.79,,-28%,250 ml Flasche | versch. Sorten | statt 2.49 | 1.79*,데일리 바디워시 / 샤워젤
